what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047571084
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1553047571165
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1553047574337
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047574712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047575643
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showInformation",1553047626687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047626740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047630515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047630571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047633707
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047643803
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047751268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553047752975
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553047753119
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1553047755930
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1553047761553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047763900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047765676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047783841
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047874805
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1553047876245
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1553047876580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1553047877010
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1553047879198
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1553047881903
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047882339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047883148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047919364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047925459
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553047949169
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553048259804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553048266699
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553048266922
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1553048268866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553048284750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553048284934
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1553048287756
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1553048302796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553048359352
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553048538029
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553048541534
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553048542705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553048719858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553048763295
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553048798325
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1553048799874
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1553048800390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1553048803265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1553048804099
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553048808005
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553048808154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1553048810788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1553048811487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553048812749
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553048812883
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1553048814224
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1553048814606
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1553048818900
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553048819232
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553048820360
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1553048821202
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553048841693
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1553049503092
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1553049514053
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1553049532893
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1553049564530
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1553049606740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1553049607363
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1553049608037
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553049692388
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553049692554
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1553049694560
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553049703084
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553049703244
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1553049704166
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1553049760893
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553049763930
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553049764106
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1553049770084
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553049782058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1553049784360
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553049791354
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1553049791540
